question_id,question,correct_answer,incorrect_answer_1,incorrect_answer_2
64,Mit jelent az Fl(3)W 16s 20m 15M jelölés egy angol nyelvű hajózási térképen?,"Csoportos, 16 másodpercenként háromszor felvillanó fehér fény, amely 20 méter magasan van elhelyezve, és 15 tengeri mérföldről látható.","Állandó fázisú, 16 másodpercenként háromszor villanó, 20 tengeri mérföldről látható, 15 méter magasan elhelyezett fény.","Három percenkét 16 másodpercre elsötétülő fehér fény, 15 és 20 tengeri mérföld közötti láthatósággal."
65,Mit jelent a piros nyíllal jelzett térképjel?,Különálló veszélyes helyet jelölő bója.,"Déli irányban veszélyt jelölő, északi kardinális bója.",Hajóút szélét jelölő laterális bója.
66,Milyen információt hordoz a horvát térképrészleten a piros nyíllal jelölt terület?,"Ez egy különálló veszélyes hely. A veszélyt jelzi a világítótorony vörös színű szektorfénye, és egy fényjelzéssel ellátott bója.",A bójával megjelölt veszélyes hely nagy magassága kitakarja a világítótorony körbevilágító fényjelzését.,"A nyíllal megjelölt szektorban csak a különálló veszélyes helyet jelölő bója vörös színű villogó fénye látható, a világítótorony fénye nem."
67,Mit jelöl a térképen piros nyíllal jelzett bója?,Különálló veszélyes helyet.,Nyugatra lévő veszélyes helyet (keleti kardinális bója).,Hajóút tengelyét.
68,Mit jelöl a térképen piros nyíllal jelzett bója?,Délre lévő veszélyes helyet (északi kardinális bója).,Északra lévő veszélyes helyet (déli kardinális bója).,Különálló veszélyes helyet.
69,"Milyen bójára mutat az angol nyelvű térképrészleten a piros nyíl? Fejezze be a mondatot! Hajózási csatorna szélén lévő, (     )",öt másodpercenként egy zöld fénnyel felvillanó bójára.,öt másodpercenként egy vörös fénnyel felvillanó bójára.,öt másodpercenként egy fehér fénnyel felvillanó bójára.
70,Mit jelent a mellékelt angol nyelvű térképrészleten a piros nyíllal jelzett helyen lévő bójáról szóló információsorban a BELL felirat? Fejezze be a mondatot! A bója (     ),hullámos vízen harangozik.,radarreflektorral ellátott.,rádiójelet sugároz.
71,Milyen hajóút kitűzési rendszert alkalmaznak az európai tengereken?,IALA-A,IALA-B,
72,Mi a forgalomelválasztó (szeparációs) rendszerben való hajózás fő szabálya?,"Csak a kijelölt forgalmi sávban, az arra vonatkozó általános haladási irányban szabad haladni (a halászhajók és keresztező hajók kivételével).",A tengeri vízi forgalom szeparálódik a hajók aktuális merülés adatai alapján.,"A forgalomelválasztó rendszer kizárólag csak a nagyhajókra vonatkozik, így a kishajó közlekedhet bárhol."
73,Egymással szembe haladó géphajóknak hogyan kell kitérniük?,Jobbra téréssel (red to red).,Balra téréssel (green to green).,"Egyik jobbra tér, a másik balra."
74,Előzéskor általában melyik hajó nem változtat útirányt?,Akit előznek.,Aki előz.,A VHF rádió 13-as csatornáján történő egyeztetés szerinti.
75,"Milyen fényeket köteles viselni éjszaka az 50 méternél rövidebb, menetben lévő géphajó éjszaka?","1 db árbocfényt, oldalfényeket és farfényt.","2 db árbocfényt, oldalfényeket és farfényt.",A géphajóra előírt fényeken kívül egy körbe világító villanó sárga fényt.
76,"Milyen fényeket visel éjszaka az 50 méternél hosszabb, menetben lévő géphajó éjszaka?","2 db árbocfényt, oldalfényeket és farfényt.","1 db árbocfényt, oldalfényeket és farfényt.",Szokásos navigációs fényein kívül köteles viselni egy függőleges vonalban elhelyezett felül fehér alul vörös körbevilágító fényt.
77,Milyen kiegészítő fényt visel a vízből kiemelkedve közlekedő légpárnás hajó éjszaka?,Egy minden oldalról látható sárga fényű villanólámpát.,"Az árbocfény közelében, egymás felett, felül zöld, alul fehér körbevilágító fényt.",A talpára állított háromszög csúcsaiban elhelyezett zöld fényeket.
78,Milyen kiegészítő fényeket visel az aknaszedő hajó éjszaka?,Talpára állított háromszög csúcsaiban elhelyezett minden oldalról látható zöld fényeket.,A géphajóra előírt fényeken kívül egy körbe világító villanó sárga fényt.,"2 db árbocfényt, oldalfényeket és farfényt."
79,Milyen kiegészítő jelzőtesteket visel az aknaszedő hajó nappal?,Talpára állított háromszög csúcsaiban elhelyezett fekete gömböket.,"Egy csúcsával összefordított, fekete kettőskúpot.",Egy talpával összefordított fekete kettőskúpot.
80,Milyen kiegészítő fényeket visel a vonóhálóval halászó hajó éjszaka?,"Egymás fölött elhelyezett két minden oldalról látható lámpát, melyek közül a felső zöld, az alsó fehér fényű.",Az árbocfény helyén egymás felett felül vörös alul fehér körbevilágító fényt köteles viselni.,Szokásos navigációs fényein kívül függőleges vonalban elhelyezett 3 db vörös fényű lámpát.
81,Milyen kiegészítő fényeket visel a kerítőhálóval halászó hajó éjszaka?,"Függőleges vonalban, egymás fölött elhelyezett, két minden oldalról látható lámpát, melyek közül a felső vörös, az alsó fehér fényű.",Szokásos navigációs fényein kívül függőleges vonalban elhelyezett 2 db vörös fényű lámpát.,"Az árbocfény közelében, egymás felett, felül zöld, alul fehér körbevilágító és a géphajóra előírt navigációs fényeit viselnie kell."
82,"Milyen kiegészítő fényeket visel a menetben lévő, kormányképtelen géphajó éjszaka?","Függőleges vonalban, egymás fölött elhelyezett, két minden oldalról látható vörös lámpát. ",Függőleges vonalban elhelyezett 3 db vörös fényű lámpát visel.,"1 db legfelül elhelyezett, minden oldalról látható vörös fényű lámpát."
83,Milyen kiegészítő fényeket visel a manőverképességében korlátozott géphajó éjszaka?,"Függőleges vonalban, egymás fölött elhelyezett, három minden oldalról látható lámpát, melyek közül a legfelső és a legalsó vörös, a középső fehér fényű.","Függőleges vonalban, egymás fölött elhelyezett, két minden oldalról látható vörös lámpát. ","Függőleges vonalban elhelyezett három, minden oldalról látható vörös lámpát."
84,Milyen kiegészítő jelzőtesteket visel a vonóhálóval halászó hajó nappal?,"Két egymás fölött elhelyezett, csúcsaikkal érintkező fekete kúpot.","A géphajókon előírt jelzésen kívül visel egy, a talpára állított háromszög csúcsaiban elhelyezett fekete gömböket.",Függőleges vonalban elhelyezett 2 db fekete gömböt köteles viselni.
85,Milyen kiegészítő jelzőtesteket visel a kerítőhálóval halászó hajó nappal?,"Két egymás fölött elhelyezett, csúcsaikkal érintkező fekete kúpot. Ha a háló 150 méternél messzebb nyúlik ki, akkor egy csúcsával felfelé mutató fekete kúpot a háló irányában.","A géphajókon előírt jelzésen kívül visel egy, a talpára állított háromszög csúcsaiban elhelyezett fekete gömböket.","Egy fekete hengerből álló jelzést köteles viselni. Ha a háló 150 méternél nem nyúlik ki messzebb, akkor egy csúcsával lefelé mutató fekete kúpot a háló irányában."
86,"Milyen kiegészítő jelzőtesteket visel a menetben lévő, kormányképtelen hajó nappal?","Függőleges vonalban, egymás fölött elhelyezett 2 db fekete gömböt.","Egy csúcsával összefordított, fekete kettőskúpot.",Egy fekete hengerből álló jelzést.
87,Milyen kiegészítő jelzőtesteket visel a manőverképességében korlátozott géphajó nappal?,"Függőleges vonalban, egymás fölött elhelyezett három fekete jelzőtestet, melyek közül a legfelső és a legalsó gömb, a középső rombusz alakú.","Függőleges vonalban elhelyezett 1 db fekete gömböt, amely fölött egy fekete rombusz látható.","Függőleges vonalban elhelyezett 3 db fekete gömböt köteles viselni, amelyek között egy-egy fekete rombusz látható."
88,Milyen kiegészítő fényeket visel a merülése miatt mozgásában korlátozott géphajó éjszaka?,"Függőleges vonalban, egymás fölött elhelyezett 3 db minden oldalról látható vörös fényű lámpát.","Függőleges vonalban, egymás fölött elhelyezett 2 db vörös fényű lámpát.","Az árbocfény felett, 1 db vörös fényű minden oldalról látható lámpát."
89,Milyen kiegészítő jelzőtestet visel a merülése miatt mozgásában korlátozott géphajó nappal?,Egy fekete hengert.,Egy fekete kúpot.,Egy fekete gömböt.
90,Milyen kiegészítő fényeket visel a révkalauz hajó éjszaka?,"Függőleges vonalban, egymás fölött két minden oldalról látható lámpát, melyek közül a felső fehér, az alsó vörös fényű.","Szokásos navigációs fényein kívül köteles viselni, függőleges vonalban elhelyezett felül vörös alul fehér körbevilágító fényt.","2 db, vízszintes vonalban elhelyezett fehér, minden oldalról látható fényt."
91,Milyen jelzőtestet visel a lehorgonyzott géphajó nappal?,Egy minden oldalról látható fekete gömböt.,Egy fekete hengerből álló jelzést.,Egy csúcsával lefelé álló fekete kúpot.
92,Milyen fényeket visel a zátonyra futott géphajó éjszaka?,"Horgonyfényein kívül függőleges vonalban, egymás alatt, két minden oldalról látható vörös fényű lámpát.","Horgonyfényein kívül egy, vörös körbevilágító fényt visel.","Horgonyfényein kívül három, függőleges vonalban elhelyezett vörös, minden oldalról látható fényt visel."
93,"Milyen kódlobogó jelzi nappal, hogy a révkalauz van a fedélzeten?",H (Hotel).,P (Papa).,B (Bravo).
94,Milyen fényeket visel a horgonyon álló géphajó éjszaka?,"Egy minden oldalról látható, fehér fényű lámpát. Ha a hajó 50 méternél hosszabb, akkor második minden oldalról látható, fehér fényű lámpát is visel.","Egy körbevilágító fehér fényt. Ha 50 méternél hosszabb a hajó, akkor a fedélzet megvilágítása is szükséges.","Egy minden oldalról látható fehér fényt. Ha a hajó 50 méternél hosszabb, akkor egy kiegészítő körbevilágító zöld fény is szükséges."
95,Milyen jelzőtesteket visel a zátonyra futott géphajó nappal?,"Függőleges vonalban, egymás alatt három fekete gömböt.",Függőleges vonalban elhelyezett 2 db fekete gömböt.,1 db fekete gömböt.
96,"Milyen hangjelzést köteles adni szűk csatorna, vagy hajóút kanyarulatához közeledő géphajó?",Egy hosszú hangjelzést.,Egy rövid hangjelzést.,Két hosszú hangjelzést.
97,Menetben lévő géphajó korlátozott látási viszonyok között milyen hangjelzést köteles adni?,Két percet meg nem haladó időközönként egy hosszú hangjelzést.,Két percet meg nem haladó időközönként két rövid hangjelzést.,Két percet meg nem haladó időközönként két hosszú hangjelzést.
98,Mire szolgál a hajón elhelyezett vészhelyzetjelző rádióbója (EPIRB-bója)?,"Ez egy olyan úszóképes helyzetjelző berendezés, amely a veszélybe került hajó azonosításához szükséges adatokat, valamint a jeladó pillanatnyi GPS koordinátáit sugározza műholdakon keresztül parti segélyközpontba.",A bójával az elsüllyedt hajó helyét jelölik meg.,"Jelzi, hogy az adott pozícióban milyen tengeráramlásra lehet számítani."
99,Melyik NEM vészjelzés az alábbiak közül?,Egyik kar folyamatos fel-le nyújtogatása.,Ködjelző készülék folyamatos szólaltatása.,Lángjelek a hajón (mint pl. egy olajos hordó meggyújtása).
100,Milyen jeleket sugároz a SART bója?,A felkutatást elősegítő radarfrekvenciás jelet.,"MMSI számot, pozíciót, hajónevet.",A vészhelyzet jellegét közvetíti.
101,Mi az összeütközések megelőzésére vonatkozó nemzetközi szabályozás (COLREG) területi hatálya?,"Nyílt tengereken és az azokkal összeköttetésben lévő, tengeri hajókkal járható összes vizeken kell alkalmazni.",Csak a nyílt tengeren hajózható vizeken érvényes.,Csak a partmenti hajózható vizekre vonatkozik.
102,Ki hosszabbíthatja meg a hajózási dokumentumok lejárt érvényességét külföldön?,A konzul.,A nagykövet.,Csak Magyarországon hosszabbíthatók.
103,Mi a globális tengeri vészjelző és biztonsági rendszer (GMDSS) célja?,"A biztonság növelése, és a bajba jutott hajók mentésének megkönnyítése.",Korlátozott látási viszonyok között való tájékozódást segíti elő.,Tengerrengéseket követő szökőár veszélyére figyelmeztet.
104,Mi az INMARSAT rendszer?,"Telefon- és adatszolgáltatást nyújtó műholdas kommunikációs rendszer, elsősorban a partoktól távol közlekedő hajók részére.","A tenger szaturációjának, azaz oldott oxigéntartalmának változását leíró rendszer.",A tenger áramlásának kedvezőtlen hatásaira figyelmeztető rendszer.
105,A partoktól meddig terjed a GMDSS rendszerben az A1-es tengeri körzet?,A partoktól 20-30 tengeri mérföldig.,A partoktól 2-3 tengeri mérföldig.,A partoktól 200-300 tengeri mérföldig.
106,"Mit jelent az, ha egy VHF rádiócsatorna szimplex üzemmódú?","Az adás és a vétel ugyanazon a frekvencián történik, ezért egyszerre adni és venni rajta nem lehet, viszont a csatornán mindenki hall minden adást.","Az adás és a vétel különböző frekvencián történik, ezért rajta a hajó által közölt információt csak a parti állomás hallja.",A rádiócsatornán csak az adás üzemmód működik.
107,"Melyik szó használata jelenti VHF rádióforgalmazásban azt, hogy az egyik fél befejezi az adását és vételre kapcsolva várja a választ?",Over.,Vége.,Vettem.
108,Hogyan történik a VHF rádiók bekapcsolása?,"Egyes rádiókon külön ki- és bekapcsoló gomb van (On/Off), míg másokon a hangerőszabályzóval (Volume) van összekötve a ki- és a bekapcsolás.",A piros műanyag fedelet felemelve a DISTRESS gomb megnyomásával kapcsoljuk be.,A COVER gomb hosszú ideig (kb. 3 mp-ig) tartó megnyomásával lehet bekapcsolni.
109,Mivel tudjuk a rádió által vett légköri- és egyéb elektromágneses alapzaj zavaró hatását csökkenteni?,A SQUELCH (zajzár) szolgál a rádióvevő érzékenységének beállítására.,A DISTRESS gomb megnyomásával.,Csak a hangerő letekerésével tudjuk csökkenteni a rádió alapzaját.
110,Mit jelez a MAYDAY kifejezés használata a rádiózásban?,"Vészhelyzeti kommunikációt, azonnali külső segítségre van szükség.","Sürgősségi kommunikációt, nincs szükség azonnali külső segítségre.","Biztonsággal kapcsolatos kommunikációt, navigációs és meteorológiai figyelmeztetéseket."
111,Mit jelez a PAN-PAN kifejezés használata a rádiózásban?,"Sürgősségi kommunikációt, nincs szükség azonnali külső segítségre.","Biztonsággal kapcsolatos kommunikációt, navigációs és meteorológiai figyelmeztetéseket.","Vészhelyzeti kommunikációt, azonnali külső segítségre van szükség."
112,Mit jelez a SECURITE kifejezés használata a rádiózásban?,"Biztonsággal kapcsolatos kommunikációt, navigációs és meteorológiai figyelmeztetéseket.","Vészhelyzeti kommunikációt, azonnali külső segítségre van szükség.","Sürgősségi kommunikációt, nincs szükség azonnali külső segítségre."
